miRNA,freq,picked_by
hsa-mir-6846,1,GMM
hsa-mir-6847,1,GMM
hsa-mir-6849,1,GMM
hsa-mir-6850,1,GMM
hsa-mir-6851,1,GMM
hsa-mir-6852,1,GMM
hsa-mir-6854,1,GMM
hsa-mir-6855,1,GMM
hsa-mir-6856,1,GMM
hsa-mir-6858,1,GMM
hsa-mir-6860,1,GMM
hsa-mir-6871,1,GMM
hsa-mir-6873,1,GMM
hsa-mir-6875,1,GMM
hsa-mir-6877,1,GMM
hsa-mir-6878,1,GMM
hsa-mir-6879,1,GMM
hsa-mir-6881,1,GMM
hsa-mir-6882,1,GMM
hsa-mir-6884,1,GMM
hsa-mir-6885,1,GMM
hsa-mir-6886,1,GMM
hsa-mir-6888,1,GMM
hsa-mir-6891,1,GMM
hsa-mir-6893,1,GMM
hsa-mir-6895,1,GMM
hsa-mir-7-1,1,GMM
hsa-mir-7-2,1,GMM
hsa-mir-7-3,1,GMM
hsa-mir-7110,1,GMM
hsa-mir-7111,1,GMM
hsa-mir-7112,1,GMM
hsa-mir-7114,1,GMM
hsa-mir-7156,1,GMM
hsa-mir-7161,1,GMM
hsa-mir-744,1,GMM
hsa-mir-760,1,GMM
hsa-mir-765,1,GMM
hsa-mir-767,1,GMM
hsa-mir-769,1,GMM
hsa-mir-7702,1,GMM
hsa-mir-7703,1,GMM
hsa-mir-7705,1,GMM
hsa-mir-7706,1,GMM
hsa-mir-7845,1,GMM
hsa-mir-7854,1,GMM
hsa-mir-7974,1,GMM
hsa-mir-7976,1,GMM
hsa-mir-8072,1,GMM
hsa-mir-877,1,GMM
hsa-mir-9-1,1,GMM
hsa-mir-9-2,1,GMM
hsa-mir-9-3,1,GMM
hsa-mir-92a-1,1,GMM
hsa-mir-92a-2,1,GMM
hsa-mir-92b,1,GMM
hsa-mir-93,1,GMM
hsa-mir-934,1,GMM
hsa-mir-937,1,GMM
hsa-mir-939,1,GMM
hsa-mir-940,1,GMM
hsa-mir-942,1,GMM
hsa-mir-943,1,GMM
hsa-mir-95,1,GMM
hsa-mir-96,1,GMM
hsa-mir-98,1,GMM
hsa-mir-99a,1,KM
hsa-mir-99b,1,GMM
