miRNA,freq,picked_by
hsa-mir-5092,1,GMM
hsa-mir-5094,1,GMM
hsa-mir-515-2,1,GMM
hsa-mir-516a-1,1,GMM
hsa-mir-516a-2,1,GMM
hsa-mir-517c,1,GMM
hsa-mir-5187,1,GMM
hsa-mir-518a-1,1,GMM
hsa-mir-518a-2,1,GMM
hsa-mir-518b,1,GMM
hsa-mir-518e,1,GMM
hsa-mir-5190,1,GMM
hsa-mir-5194,1,GMM
hsa-mir-5195,1,GMM
hsa-mir-519a-1,1,GMM
hsa-mir-519a-2,1,GMM
hsa-mir-520b,1,GMM
hsa-mir-520e,1,GMM
hsa-mir-520f,1,GMM
hsa-mir-521-1,1,GMM
hsa-mir-521-2,1,GMM
hsa-mir-522,1,GMM
hsa-mir-524,1,GMM
hsa-mir-527,1,GMM
hsa-mir-532,1,GMM
hsa-mir-545,1,GMM
hsa-mir-548a-3,1,GMM
hsa-mir-548ac,1,GMM
hsa-mir-548ah,1,GMM
hsa-mir-548ai,1,GMM
hsa-mir-548aj-1,1,GMM
hsa-mir-548al,1,GMM
hsa-mir-548ao,1,GMM
hsa-mir-548ar,1,GMM
hsa-mir-548au,1,GMM
hsa-mir-548av,1,GMM
hsa-mir-548b,1,GMM
hsa-mir-548ba,1,SC
hsa-mir-548d-1,1,GMM
hsa-mir-548d-2,1,GMM
hsa-mir-548e,1,GMM
hsa-mir-548f-1,1,GMM
hsa-mir-548f-4,1,GMM
hsa-mir-548j,1,GMM
hsa-mir-548k,1,GMM
hsa-mir-548o,1,GMM
hsa-mir-548o-2,1,GMM
hsa-mir-548q,1,GMM
hsa-mir-548s,1,GMM
hsa-mir-548v,1,GMM
hsa-mir-550a-1,1,GMM
hsa-mir-550a-2,1,GMM
hsa-mir-550a-3,1,GMM
hsa-mir-550b-2,1,GMM
hsa-mir-551a,1,GMM
hsa-mir-553,1,GMM
hsa-mir-555,1,GMM
hsa-mir-556,1,GMM
hsa-mir-5571,1,GMM
hsa-mir-5581,1,GMM
