miRNA,mean_expression
hsa-mir-6842,1.557688476702509
hsa-mir-627,1.5306113870967741
hsa-mir-433,1.5212377921146953
hsa-mir-3651,1.4695876272401434
hsa-mir-1224,1.4464918817204304
hsa-mir-1277,1.44016494265233
hsa-mir-550a-3,1.4316350967741935
hsa-mir-543,1.4289620322580645
hsa-mir-1304,1.389648752688172
hsa-mir-449b,1.3520184444444445
hsa-mir-939,1.348316440860215
hsa-mir-1228,1.3458585878136202
hsa-mir-3156-2,1.3293895842293906
hsa-mir-3664,1.2965294659498208
hsa-mir-4501,1.2939716738351252
hsa-mir-2114,1.2729097096774193
hsa-mir-3917,1.2688134121863799
hsa-mir-7-3,1.259372218637993
hsa-mir-5698,1.2400330681003584
hsa-mir-7-2,1.235123964157706
hsa-mir-2277,1.226330681003584
hsa-mir-6837,1.1941330609318996
hsa-mir-4742,1.1784105734767027
hsa-mir-1295a,1.1752660716845877
hsa-mir-5694,1.1751855376344085
hsa-mir-3682,1.168764634408602
hsa-mir-3610,1.1593506344086022
hsa-mir-6761,1.1500807060931901
hsa-mir-526b,1.1452260609318998
hsa-mir-624,1.1369374444444444
hsa-mir-6806,1.1366193906810036
hsa-mir-7705,1.1167752831541222
hsa-mir-147b,1.1086280250896057
hsa-mir-374c,1.0902774193548386
hsa-mir-3940,1.0875224157706094
hsa-mir-1291,1.0655959283154122
hsa-mir-519a-2,1.0328648243727598
hsa-mir-1343,1.0166614838709678
hsa-mir-522,0.9907409211469534
hsa-mir-138-1,0.9745478602150537
hsa-mir-3156-3,0.9650765483870967
hsa-mir-489,0.9623291863799284
hsa-mir-3926-2,0.9542365197132616
hsa-mir-6854,0.9367854946236559
hsa-mir-4461,0.9298655555555556
hsa-mir-6720,0.907784430107527
hsa-mir-556,0.9065179390681003
hsa-mir-4709,0.887959781362007
hsa-mir-5699,0.8806904767025089
hsa-mir-1229,0.8778145232974911
hsa-mir-3199-2,0.8736563620071686
hsa-mir-3652,0.8647848494623656
hsa-mir-676,0.8547000716845878
hsa-mir-656,0.8477608637992832
hsa-mir-618,0.8451392903225806
hsa-mir-4664,0.830324082437276
hsa-mir-6718,0.8265663655913977
hsa-mir-383,0.8235849964157707
hsa-mir-6716,0.8079676451612904
hsa-mir-579,0.802614788530466
hsa-mir-643,0.7929024767025089
hsa-mir-541,0.7819485806451614
hsa-mir-3923,0.7813233118279569
hsa-mir-3912,0.7791068315412186
hsa-mir-4521,0.7785985591397849
hsa-mir-4714,0.7781553154121863
hsa-mir-499a,0.773830835125448
