miRNA,mean_expression
hsa-mir-219a-1,2.5843642752293574
hsa-mir-202,2.529355077981651
hsa-mir-135a-2,2.522756885321101
hsa-mir-550a-1,2.5009891490825686
hsa-mir-320b-1,2.4440551353211006
hsa-mir-3170,2.3943203325688076
hsa-mir-1249,2.393618545871559
hsa-mir-7706,2.349579337155963
hsa-mir-2110,2.3487410137614684
hsa-mir-2115,2.3482729334862387
hsa-mir-944,2.2994671788990826
hsa-mir-129-1,2.2873975000000004
hsa-mir-3928,2.264956474770642
hsa-mir-516a-1,2.2463355871559636
hsa-mir-877,2.2101244151376145
hsa-mir-3130-1,2.1856418027522935
hsa-mir-135a-1,2.171931470183486
hsa-mir-519a-2,2.156661729357798
hsa-mir-3130-2,2.1547004105504586
hsa-mir-891a,2.1255205848623855
hsa-mir-151b,2.1031146834862384
hsa-mir-5000,2.0923528073394495
hsa-mir-1251,2.045834144495413
hsa-mir-494,1.983756467889908
hsa-mir-551b,1.9686098325688073
hsa-mir-522,1.9478752178899084
hsa-mir-516a-2,1.9474523669724775
hsa-mir-3913-1,1.8413283325688072
hsa-mir-301b,1.8319204174311927
hsa-mir-3913-2,1.763938376146789
hsa-mir-3934,1.7531514564220185
hsa-mir-7702,1.717575876146789
hsa-mir-1258,1.704272389908257
hsa-mir-504,1.690170743119266
hsa-mir-6511b-2,1.6809053050458718
hsa-mir-4724,1.6774206834862389
hsa-mir-6511b-1,1.6741466697247707
hsa-mir-659,1.6624179311926606
hsa-mir-376b,1.6380965022935778
hsa-mir-6842,1.6373044105504588
hsa-mir-487a,1.636668513761468
hsa-mir-1226,1.6331513233944954
hsa-mir-548v,1.6307906788990827
hsa-mir-7156,1.6018019036697249
hsa-mir-376a-1,1.5536927935779818
hsa-mir-1224,1.5339920481651377
hsa-mir-4638,1.510615126146789
hsa-mir-520a,1.505841098623853
hsa-mir-543,1.4691114587155965
hsa-mir-433,1.4654944197247706
hsa-mir-3651,1.4481883486238531
hsa-mir-3156-1,1.4458258394495414
hsa-mir-512-1,1.4347605022935779
hsa-mir-548b,1.4314447018348622
hsa-mir-627,1.4256281605504586
hsa-mir-449b,1.422272139908257
hsa-mir-550a-3,1.4146810871559634
hsa-mir-512-2,1.4111294403669725
hsa-mir-3917,1.3964211077981652
hsa-mir-3156-2,1.3720091238532108
hsa-mir-1277,1.3694063463302755
hsa-mir-1304,1.364222633027523
hsa-mir-7-3,1.352022123853211
hsa-mir-6837,1.3351442477064221
hsa-mir-1228,1.3093727018348622
hsa-mir-939,1.3055543967889909
hsa-mir-7-2,1.2979443692660553
hsa-mir-4501,1.2969478004587156
hsa-mir-517a,1.2890153509174311
hsa-mir-517b,1.2847770917431194
hsa-mir-383,1.2752759793577984
hsa-mir-5698,1.2108964541284404
hsa-mir-3610,1.189913626146789
hsa-mir-6806,1.182344848623853
hsa-mir-2277,1.1789816444954127
hsa-mir-7705,1.1743931077981653
hsa-mir-1295a,1.160721259174312
hsa-mir-147b,1.1599345183486238
hsa-mir-525,1.1483068440366975
hsa-mir-3682,1.133805736238532
hsa-mir-6761,1.1336663302752295
hsa-mir-4742,1.1301960389908259
hsa-mir-3940,1.1183337316513762
hsa-mir-3664,1.102775626146789
hsa-mir-624,1.0882160298165138
hsa-mir-2114,1.0876650848623852
hsa-mir-518c,1.0457002844036696
hsa-mir-1291,1.0320631880733946
hsa-mir-374c,1.0246282591743119
hsa-mir-4461,1.0094683027522935
hsa-mir-4449,0.9884773050458716
hsa-mir-3926-2,0.9769494059633028
hsa-mir-138-1,0.9767944610091743
hsa-mir-6854,0.9577431743119267
hsa-mir-518f,0.9567505206422019
hsa-mir-1343,0.9566559747706421
hsa-mir-5694,0.9396294633027522
hsa-mir-1229,0.8985002545871559
hsa-mir-3199-2,0.8845582408256882
hsa-mir-4709,0.8719214036697247
hsa-mir-5699,0.8635704999999999
hsa-mir-6716,0.8625508646788991
hsa-mir-676,0.8583430550458716
hsa-mir-3156-3,0.8479982339449543
hsa-mir-618,0.8466744449541285
hsa-mir-4664,0.8399040688073395
hsa-mir-6720,0.8308038096330275
hsa-mir-489,0.8237600183486238
hsa-mir-3652,0.8205369587155964
hsa-mir-656,0.8203407889908257
hsa-mir-556,0.8145620711009174
hsa-mir-4521,0.7952633096330275
hsa-mir-520b,0.780461495412844
hsa-mir-3912,0.7775795022935781
hsa-mir-6509,0.7715799793577981
hsa-mir-518b,0.7712369380733946
hsa-mir-3609,0.757126380733945
hsa-mir-5684,0.7553167270642202
hsa-mir-3662,0.7532139036697248
hsa-mir-380,0.7518513004587156
hsa-mir-6718,0.7517584403669725
hsa-mir-643,0.7509247981651375
hsa-mir-518e,0.7372867935779817
hsa-mir-372,0.7364202224770642
hsa-mir-1262,0.7326868486238531
hsa-mir-579,0.7311745229357799
hsa-mir-4714,0.7291971674311928
hsa-mir-216a,0.719139993119266
hsa-mir-3678,0.713094506880734
hsa-mir-3926-1,0.7088002087155962
hsa-mir-4787,0.7069351628440368
hsa-mir-541,0.705343736238532
hsa-mir-6755,0.699123373853211
hsa-mir-4999,0.6978599518348624
hsa-mir-4444-2,0.697438871559633
hsa-mir-138-2,0.691232399082569
hsa-mir-4786,0.6876346513761469
hsa-mir-545,0.6858396330275229
hsa-mir-3690-1,0.685151119266055
hsa-mir-3136,0.681880740825688
hsa-mir-3922,0.6748070596330275
hsa-mir-4784,0.6630778899082569
hsa-mir-520f,0.659875270642202
hsa-mir-5010,0.6453769426605506
hsa-mir-2116,0.6450451880733945
hsa-mir-137,0.6446601513761467
hsa-mir-585,0.6302264633027522
hsa-mir-4473,0.6293518577981653
hsa-mir-320c-1,0.6280578325688073
hsa-mir-499a,0.6183442477064222
hsa-mir-552,0.6136022591743119
hsa-mir-18b,0.6038784701834863
hsa-mir-449c,0.6033119059633028
hsa-mir-1292,0.5862607866972477
hsa-mir-376a-2,0.5843298486238533
hsa-mir-4491,0.5799364243119266
hsa-mir-1288,0.5745620825688073
hsa-mir-581,0.5711173509174312
hsa-mir-4446,0.5670927821100917
hsa-mir-570,0.5660161123853212
hsa-mir-3117,0.5624489311926606
hsa-mir-6777,0.5568237729357798
hsa-mir-548e,0.5524088096330275
hsa-mir-605,0.5496130986238532
hsa-mir-320d-1,0.5493152339449541
hsa-mir-665,0.5461935160550458
hsa-mir-6802,0.5461263325688074
hsa-mir-6820,0.5420913233944954
hsa-mir-4652,0.5416272614678899
hsa-mir-1254-2,0.5415220252293578
hsa-mir-5001,0.5383079655963302
hsa-mir-4766,0.5374036880733946
hsa-mir-639,0.5349407752293578
hsa-mir-3923,0.5233577133027523
hsa-mir-3173,0.5125472133027523
hsa-mir-3129,0.5099765665137614
hsa-mir-320d-2,0.5082821330275229
hsa-mir-551a,0.5038005160550458
hsa-mir-4660,0.5027222293577982
hsa-mir-548s,0.49637603669724767
hsa-mir-3619,0.4749999724770642
hsa-mir-1255a,0.4740567385321101
hsa-mir-520g,0.4734568440366973
hsa-mir-527,0.4727108348623853
hsa-mir-1254-1,0.4646130917431192
hsa-mir-6733,0.46099958715596323
hsa-mir-518a-2,0.45977056880733946
hsa-mir-6808,0.4548737087155963
hsa-mir-3064,0.4501984472477064
hsa-mir-3187,0.44868101605504584
hsa-mir-4444-1,0.4457379655963302
hsa-mir-6503,0.4443318027522935
hsa-mir-3161,0.443029366972477
hsa-mir-5003,0.44253323394495414
hsa-mir-3941,0.4391598623853211
hsa-mir-5187,0.43387515366972473
hsa-mir-6499,0.43385563532110094
hsa-mir-3909,0.4304757591743119
hsa-mir-6798,0.42893172247706424
hsa-mir-329-2,0.42792064449541284
hsa-mir-329-1,0.4272970848623854
hsa-mir-506,0.4269478463302752
hsa-mir-6501,0.42523320642201834
hsa-mir-6516,0.42422637614678904
hsa-mir-580,0.41757189908256875
hsa-mir-1910,0.41734927522935783
hsa-mir-6514,0.4167815619266055
hsa-mir-4791,0.4149936467889908
hsa-mir-7112,0.41262015596330276
hsa-mir-488,0.41220298165137614
hsa-mir-4636,0.4119842889908257
hsa-mir-4732,0.4052039885321101
hsa-mir-3190,0.39973293119266057
hsa-mir-5691,0.39917274311926604
hsa-mir-636,0.3963824816513762
hsa-mir-6783,0.39435324311926606
hsa-mir-1275,0.38380400229357803
hsa-mir-5695,0.3834548096330275
hsa-mir-320c-2,0.38236698623853205
hsa-mir-219b,0.38048318348623855
hsa-mir-632,0.37978131651376146
hsa-mir-3191,0.376854245412844
hsa-mir-4665,0.37607978899082567
hsa-mir-1284,0.37146338073394497
hsa-mir-548aw,0.36670624770642196
hsa-mir-6815,0.3598688073394496
hsa-mir-6874,0.35870175
hsa-mir-5706,0.3558205229357798
hsa-mir-1295b,0.34787915137614683
hsa-mir-4443,0.3448113096330276
hsa-mir-516b-1,0.34412840596330274
hsa-mir-520h,0.3425549266055046
hsa-mir-548f-1,0.33929555275229356
hsa-mir-518a-1,0.33905228440366975
hsa-mir-4675,0.33673384403669726
hsa-mir-519d,0.33404890366972473
hsa-mir-4781,0.3332710894495413
hsa-mir-4726,0.33178889908256876
hsa-mir-3157,0.32841436238532107
hsa-mir-4680,0.3261372614678899
hsa-mir-6877,0.32499391284403667
hsa-mir-4758,0.3249223096330275
hsa-mir-4423,0.3247142958715596
hsa-mir-548o-2,0.3182690183486238
hsa-mir-607,0.3181622133027523
hsa-mir-1537,0.3177525642201835
hsa-mir-548au,0.3113667775229358
hsa-mir-548j,0.3113001330275229
hsa-mir-4640,0.3106191376146789
hsa-mir-519c,0.30897891743119266
hsa-mir-521-1,0.30519134403669723
hsa-mir-520d,0.30517553899082567
hsa-mir-7854,0.30430695412844033
hsa-mir-6875,0.30359798853211006
hsa-mir-548o,0.30068577752293574
hsa-mir-6715a,0.29973409403669726
hsa-mir-4777,0.29863768119266054
hsa-mir-3199-1,0.2957043509174312
hsa-mir-4442,0.29507573853211005
hsa-mir-6502,0.29468355733944956
hsa-mir-6860,0.29428422247706426
hsa-mir-5581,0.293048128440367
hsa-mir-5690,0.2927022339449541
hsa-mir-4649,0.2914430435779816
hsa-mir-4645,0.2882532224770642
hsa-mir-7974,0.28774369495412844
hsa-mir-4707,0.28417619954128437
hsa-mir-1185-1,0.28394049082568806
hsa-mir-5680,0.28120379357798164
hsa-mir-3194,0.28024543807339447
hsa-mir-4797,0.27555808256880737
hsa-mir-4762,0.2743924655963303
hsa-mir-3174,0.2739837385321101
hsa-mir-4763,0.26932477522935777
hsa-mir-6793,0.2671854816513761
hsa-mir-658,0.2652412637614679
hsa-mir-5091,0.26487359174311925
hsa-mir-378d-2,0.26115965825688076
hsa-mir-548k,0.2608518119266055
hsa-mir-6737,0.2605408165137615
hsa-mir-6781,0.2602169128440367
hsa-mir-4676,0.2580847110091743
hsa-mir-5696,0.2579700619266055
hsa-mir-6507,0.25319118119266054
hsa-mir-5571,0.24907737385321102
hsa-mir-6803,0.24539655733944954
hsa-mir-765,0.24452300688073395
hsa-mir-320e,0.24385642889908257
hsa-mir-3622a,0.24308644724770642
hsa-mir-4484,0.24085446100917435
hsa-mir-4683,0.2378353922018349
hsa-mir-5708,0.23761411926605502
hsa-mir-4738,0.23708105733944956
hsa-mir-6868,0.2363205160550459
hsa-mir-1538,0.23269786467889905
hsa-mir-5687,0.2321423646788991
hsa-mir-3188,0.23169650917431192
hsa-mir-4745,0.22896122247706419
hsa-mir-4454,0.22805851146788989
hsa-mir-3942,0.2270668876146789
hsa-mir-4788,0.22658918119266053
hsa-mir-1181,0.22656853669724772
hsa-mir-3655,0.2258935389908257
hsa-mir-3684,0.22273214678899084
hsa-mir-3944,0.22170608256880733
hsa-mir-6844,0.22122639908256883
hsa-mir-561,0.21956670183486238
hsa-mir-3176,0.21943128669724773
hsa-mir-6125,0.21927326605504588
hsa-mir-4658,0.21869394495412844
hsa-mir-1294,0.2172362752293578
hsa-mir-6788,0.21524346559633026
hsa-mir-4802,0.21435474082568806
hsa-mir-2276,0.21409411697247704
hsa-mir-4780,0.21364259633027521
hsa-mir-548d-1,0.2102880825688073
hsa-mir-3620,0.21013269266055046
hsa-mir-6734,0.20899476605504588
hsa-mir-3691,0.20885189678899083
hsa-mir-6818,0.20843671788990828
hsa-mir-1179,0.20780765825688075
hsa-mir-6852,0.2071737247706422
hsa-mir-515-1,0.20665243807339448
hsa-mir-4756,0.2041416743119266
