Stage,Family,k,Consensus,Classifier,n_feats,missing,Accuracy,Sensitivity,Specificity,AUC,SourceFile,Status
Stage III,DeepLearning,top15,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_III_intersection.csv,empty_list
Stage III,DeepLearning,top15,majority,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_III_majority.csv,empty_list
Stage III,DeepLearning,top5,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_III_intersection.csv,empty_list
Stage III,DeepLearning,top5,majority,KNN,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_III_majority.csv,empty_list
Stage III,Traditional,top10,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_III_intersection.csv,empty_list
Stage III,Traditional,top10,majority,KNN,7,0.0,0.555,0.188,0.775,0.492,stagewise_consensus\Consensus_Traditional_top10_Stage_III_majority.csv,ok
Stage III,Traditional,top15,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_III_intersection.csv,empty_list
Stage III,Traditional,top15,majority,KNN,9,0.0,0.531,0.188,0.738,0.424,stagewise_consensus\Consensus_Traditional_top15_Stage_III_majority.csv,ok
Stage III,Traditional,top5,intersection,KNN,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_III_intersection.csv,empty_list
Stage III,Traditional,top5,majority,KNN,2,0.0,0.555,0.104,0.825,0.433,stagewise_consensus\Consensus_Traditional_top5_Stage_III_majority.csv,ok
Stage III,Clustering,,intersection,LR,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_III_intersection.csv,empty_list
Stage III,Clustering,,majority,LR,600,0.0,0.484,0.333,0.575,0.465,stagewise_consensus\Consensus_Clustering_Stage_III_majority.csv,ok
Stage III,DeepLearning,top10,intersection,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_III_intersection.csv,empty_list
Stage III,DeepLearning,top10,majority,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_III_majority.csv,empty_list
Stage III,DeepLearning,top15,intersection,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_III_intersection.csv,empty_list
Stage III,DeepLearning,top15,majority,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_III_majority.csv,empty_list
Stage III,DeepLearning,top5,intersection,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_III_intersection.csv,empty_list
Stage III,DeepLearning,top5,majority,LR,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top5_Stage_III_majority.csv,empty_list
Stage III,Traditional,top10,intersection,LR,0,,,,,,stagewise_consensus\Consensus_Traditional_top10_Stage_III_intersection.csv,empty_list
Stage III,Traditional,top10,majority,LR,7,0.0,0.5,0.312,0.612,0.463,stagewise_consensus\Consensus_Traditional_top10_Stage_III_majority.csv,ok
Stage III,Traditional,top15,intersection,LR,0,,,,,,stagewise_consensus\Consensus_Traditional_top15_Stage_III_intersection.csv,empty_list
Stage III,Traditional,top15,majority,LR,9,0.0,0.5,0.292,0.625,0.445,stagewise_consensus\Consensus_Traditional_top15_Stage_III_majority.csv,ok
Stage III,Traditional,top5,intersection,LR,0,,,,,,stagewise_consensus\Consensus_Traditional_top5_Stage_III_intersection.csv,empty_list
Stage III,Traditional,top5,majority,LR,2,0.0,0.508,0.25,0.662,0.453,stagewise_consensus\Consensus_Traditional_top5_Stage_III_majority.csv,ok
Stage III,Clustering,,intersection,RF,0,,,,,,stagewise_consensus\Consensus_Clustering_Stage_III_intersection.csv,empty_list
Stage III,Clustering,,majority,RF,600,0.0,0.617,0.083,0.938,0.471,stagewise_consensus\Consensus_Clustering_Stage_III_majority.csv,ok
Stage III,DeepLearning,top10,intersection,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_III_intersection.csv,empty_list
Stage III,DeepLearning,top10,majority,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top10_Stage_III_majority.csv,empty_list
Stage III,DeepLearning,top15,intersection,RF,0,,,,,,stagewise_consensus\Consensus_DeepLearning_top15_Stage_III_intersection.csv,empty_list
